ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
11891134,0,47,Yes,Female,Female,0,0,1,0,0,0,Homemaker,90301,90047,79901,"Less than $25,000",4,Divorced and remarried (both),Master's degree,Bachelor's degree (4 years of college),"$12,501-$22,499",Divorced,2,,,
11891136,1,35,Yes,Male,Male,0,0,1,0,0,0,Computer Engineer,60039,60039,60039,"$56,000-$78,000",5,Married,Associate's degree (2 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Married,2,,,
11891140,5,55,Yes,Female,Female,0,0,1,0,0,0,Unemployed,64132,64134,64137,"$25,001-$40,499",5,Widowed,Some college,Some college,"$22,500-$42,999",Single,4,,,
11891143,5,35,Yes,Male,Male,0,0,1,0,0,0,Self-employed,11221,11221,11221,"$25,001-$40,499",5,Never married,Some college,Some college,"$22,500-$42,999",Single,0,,,
11891147,7,23,Yes,Male,Male,0,0,1,0,0,0,Engineer,10118,10118,10118,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
11891153,10,48,Yes,Female,Female,0,0,1,0,0,0,customer service representative,30310,30310,30311,"Less than $25,000",4,Married,Some college,Associate's degree (2 years of college),"$22,500-$42,999",Single,2,,,
11891158,0,30,Yes,Male,Male,0,0,1,0,0,0,Trained Professional.,2119,2119,2125,"$25,001-$40,499",6,Married,Some college,Master's degree,"$42,500-$80,000",Married,1,,,
11891169,0,33,Yes,Female,Female,0,0,1,0,0,0,Stocker,28540,28546,28540,"Less than $25,000",2,Never married,Highschool degree,Associate's degree (2 years of college),"$12,501-$22,499",Single,0,,,
11891173,9,61,Yes,Female,Female,0,0,1,0,0,0,Owner- Professional Consulting Services,31902,31902,38127,"Less than $25,000",3,Divorced,Highschool degree,Bachelor's degree (4 years of college),"More than $80,000",Married,4,,,
11891181,8,25,Yes,Female,Female,0,0,1,0,0,0,Medical Doctor,14201,14201,14205,"More than $78,000",6,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
11891187,11,32,Yes,Male,Male,0,0,1,0,0,0,Teacher,55401,55401,75051,"$25,001-$40,499",8,Married,Master's degree,Master's degree,"$22,500-$42,999",Married,2,,,
11891198,3,40,Yes,Female,Female,0,0,1,1,0,0,Telecom,35803,35802,35803,"$25,001-$40,499",4,Married,Highschool degree,Highschool degree,"$42,500-$80,000",Married,2,,,
11891203,5,37,Yes,Female,Male,0,0,1,0,0,0,,73644,73644,73624,"$25,001-$40,499",7,Married,Some college,Some college,"$12,501-$22,499",Single,0,,,
11891206,11,66,Yes,Female,Female,0,0,1,0,0,0,substitute school nurse,71109,77104,76108,"Less than $25,000",4,Widowed,No highschool,Bachelor's degree (4 years of college),"$12,501-$22,499",Married,2,,,
11891212,2,36,Yes,Female,Female,0,0,1,0,0,0,home maker,91914,32534,30016,"$25,001-$40,499",5,Married,Some college,Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
11891216,2,40,Yes,Male,Male,0,0,1,0,0,0,Talent Manager,11102,11224,11208,"More than $78,000",5,Divorced and remarried (both),Associate's degree (2 years of college),Some college,"$42,500-$80,000",Single,0,,,
11891217,5,42,Yes,Male,Male,1,0,1,0,0,1,Health Aid,43201,43055,43055,"$45,500-$55,999",3,Never married,Associate's degree (2 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Single,0,,,
11891218,11,53,Yes,Female,Female,0,0,1,0,0,0,tutor,27834,27834,27834,Don't know,11,Divorced and remarried (one),Highschool degree,Associate's degree (2 years of college),"$22,500-$42,999",Single,1,,,
11891220,6,42,Yes,Male,Male,0,0,0,0,0,1,Construction,28110,28110,28110,"$56,000-$78,000",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
11891228,11,25,Yes,Male,Male,0,0,1,0,0,0,Student,19132,19132,19132,"$45,500-$55,999",5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
11891231,10,37,Yes,Female,Female,0,0,1,0,0,0,Logistics Manager,60649,60649,60621,Don't know,3,Divorced,Master's degree,Associate's degree (2 years of college),"$42,500-$80,000",Single,0,,,
