ParticipantID,comf_community,comf_firefighter,comf_gun,comf_healthcare,comf_immigration,comf_media,comf_police,comf_religion,comf_science,comf_voting
11890759,7,4,5,7,7,5,7,6,5,7
11890762,6,6,5,6,4,5,6,5,6,4
11890766,7,7,3,6,7,5,5,4,7,7
11890767,7,7,5,7,5,4,7,7,7,7
11890769,5,5,3,5,6,5,5,6,6,5
11890770,6,7,3,7,5,6,6,7,7,6
11890775,6,5,6,6,6,6,6,6,6,5
11890781,6,6,3,6,3,5,2,5,6,6
11890784,6,6,6,6,6,6,6,3,6,6
11890789,5,5,4,5,5,3,5,6,6,6
11890797,7,7,1,7,2,7,7,7,7,7
11890801,5,6,6,6,5,5,5,5,5,5
11890804,6,5,6,6,6,6,5,6,6,6
11890805,1,5,3,2,1,4,2,3,3,2
11890810,7,7,1,7,7,5,3,5,4,7
11890811,5,6,3,6,6,5,6,6,7,6
11890812,7,7,1,7,7,1,7,7,7,7
11890814,3,6,3,7,2,1,2,1,6,3
11890820,6,6,2,6,3,5,6,5,5,5
11890821,5,5,3,5,3,5,5,5,5,5
11890837,7,7,7,7,7,7,7,7,7,7
11890844,7,7,7,7,7,7,7,7,7,7
11890848,7,7,7,7,7,7,7,7,7,7
11890850,5,6,7,6,2,2,5,7,7,7
11890854,7,7,7,7,7,7,7,7,7,7
11890855,6,6,6,6,5,6,6,7,6,7
11890857,6,6,6,6,6,6,6,5,6,6
11890858,6,6,3,5,5,3,3,3,6,5
11890861,6,7,6,6,6,7,7,6,7,7
11890864,5,7,6,6,3,3,3,3,5,6
11890865,5,6,3,6,5,2,3,5,6,6
11890868,6,6,6,6,6,6,6,6,5,6
11890869,4,7,7,7,7,7,7,7,7,7
11890870,2,5,6,6,2,2,3,2,6,6
11890874,7,6,5,6,6,3,5,5,7,6
11890875,6,6,1,6,5,1,3,1,6,7
11890879,7,7,6,7,6,6,6,5,7,7
11890883,5,5,5,5,3,5,5,5,5,3
11890887,3,6,5,5,4,5,5,5,6,5
11890892,7,7,7,7,7,7,7,7,7,7
11890898,3,6,6,6,3,3,5,2,7,3
11890900,7,5,3,5,3,3,5,7,3,5
11890902,6,7,7,7,6,7,6,6,7,7
11890905,6,7,2,6,4,2,2,2,6,7
11890907,5,5,5,5,5,5,5,5,5,5
11890909,5,7,7,4,5,7,5,6,6,5
11890910,5,5,3,6,5,5,5,5,5,5
11890914,1,7,1,1,7,1,1,1,7,1
11890919,5,6,6,5,6,6,5,6,6,6
11890920,2,3,4,5,2,3,2,5,7,5
11890922,7,7,2,7,7,1,6,1,7,7
11890923,7,7,7,7,7,7,7,7,7,7
11890925,7,6,6,7,6,7,7,6,6,6
11890929,6,6,6,6,6,6,7,6,6,6
11890930,6,6,6,6,6,6,6,6,6,7
11890933,6,6,6,6,6,6,7,7,6,6
11890936,6,5,3,5,6,6,6,7,6,6
11890940,2,5,6,4,3,2,5,5,5,5
11890942,7,7,7,7,7,7,7,7,7,7
11890943,3,7,1,7,1,1,1,1,7,1
11890944,3,7,5,3,2,3,1,2,6,6
11890945,5,7,3,3,5,5,5,5,3,5
11890946,4,7,7,7,4,7,7,7,7,7
11890956,7,7,7,7,7,7,7,7,7,7
11890959,4,6,3,5,5,1,2,1,6,6
11890960,7,7,7,7,4,3,5,5,7,7
11890961,3,5,2,3,3,2,2,3,5,3
11890965,6,5,3,6,3,3,5,6,6,3
11890966,5,6,3,5,7,3,5,6,7,6
11890967,3,5,3,5,2,6,2,5,6,3
11890969,3,6,5,3,5,6,3,2,6,3
11890971,6,6,5,6,6,6,6,5,6,6
11890978,6,6,5,6,6,6,6,6,6,6
11890983,5,5,5,5,5,5,5,6,5,5
11890987,4,6,6,5,2,1,6,4,7,6
11890989,4,7,1,7,7,1,1,1,7,4
11890990,7,7,7,7,7,4,7,4,7,7
11890991,6,6,6,5,7,4,6,5,5,7
11890992,7,7,7,7,7,7,7,7,7,7
11890995,2,6,6,3,3,3,5,5,6,2
11890997,5,7,5,5,4,4,6,4,4,4
11890999,7,7,7,7,7,7,7,6,7,7
11891000,5,6,5,4,1,2,2,6,4,1
11891002,6,6,1,5,5,3,2,1,6,7
11891004,2,5,6,7,7,3,2,4,7,6
11891007,7,7,7,7,7,7,7,7,7,7
11891008,7,7,7,6,6,7,7,7,7,7
11891011,5,6,3,5,5,5,5,7,5,5
11891018,4,7,7,7,7,7,7,7,7,7
11891020,4,7,1,7,4,1,7,1,7,7
11891024,5,7,6,6,7,7,6,7,6,7
11891025,3,5,5,6,5,2,2,3,6,5
11891028,6,6,7,6,6,6,6,6,5,6
11891030,6,6,6,6,6,6,6,7,6,6
11891034,6,7,6,4,7,1,7,3,7,7
11891038,5,6,5,6,5,3,3,2,7,6
11891039,5,6,3,6,6,6,5,6,3,5
11891047,3,6,7,7,7,7,7,7,7,7
11891060,3,5,4,2,3,5,5,5,2,6
11891079,7,7,7,7,7,7,7,1,7,1
11891080,5,6,6,6,5,6,5,7,5,7
11891082,6,5,3,7,6,3,5,3,7,6
11891086,6,6,4,6,4,3,7,6,6,5
11891094,4,5,4,6,3,5,3,5,6,6
11891100,7,7,7,7,2,5,7,7,7,7
11891110,5,6,5,6,6,3,6,7,6,6
11891115,1,1,1,1,1,1,1,1,1,1
