,ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
539,11891941,9,44,Yes,Female,Female,0,0,1,0,0,0,AI Data Trainer,94110,95207,95204,Don't know,4,Never married,Bachelor's degree (4 years of college),Some college,"$42,500-$80,000",Single,0,,,
540,11891944,4,35,Yes,Male,Male,0,0,1,0,0,0,Retired veteran,33147,33147,33147,"$45,500-$55,999",4,Never married,Some college,Associate's degree (2 years of college),"$42,500-$80,000",Single,0,,,
541,11891956,7,24,Yes,Female,Female,0,0,1,0,0,0,Administrative assistant,75270,75270,75270,"$45,500-$55,999",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"Less than $12,500",Single,0,,,
542,11891961,0,54,Yes,Male,Male,0,0,1,0,0,0,Business Consultant,60610,60610,75220,"$56,000-$78,000",4,__other,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,3,My parents are dead,,
543,11891966,10,40,Yes,Female,Female,0,0,1,0,0,0,cleaner,94203,93550,90250,"$25,001-$40,499",4,Widowed,Associate's degree (2 years of college),Some college,"$42,500-$80,000",Single,4,,,
544,11891970,9,27,Yes,Female,Female,0,0,1,0,0,0,Full-Time Student,30350,30350,30350,"Less than $25,000",2,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$12,501-$22,499",Single,0,,,
545,11891973,1,39,Yes,Female,Female,0,0,1,0,0,0,homemaker,6614,36109,36109,Don't know,7,Married,Bachelor's degree (4 years of college),Master's degree,"Less than $12,500",Married,4,,,
546,11891981,7,26,Yes,Male,Male,0,0,1,0,0,0,Construction,77876,77876,77876,"More than $78,000",5,Married,Master's degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
547,11891997,1,24,Yes,Female,Female,0,0,1,0,0,0,An Accountant.,51101,51101,51101,"More than $78,000",6,Married,Bachelor's degree (4 years of college),Some college,"$42,500-$80,000",Single,0,,,
548,11892003,8,42,Yes,Male,Male,0,0,1,0,0,0,Operations Aide,21237,21206,21213,"Less than $25,000",4,Never married,__other,Some college,"$22,500-$42,999",Single,0,,"my mother never graduated high school; i don't know what my father did — and since he's been dead (for a decade now), i don't reckon asking is possible",
550,11892022,2,37,Yes,Male,Male,0,0,1,0,0,0,Warehouse associate,27101,27101,27401,"$25,001-$40,499",4,Never married,Some highschool,Associate's degree (2 years of college),"$22,500-$42,999",Single,0,,,
551,11892023,6,43,Yes,Female,Female,0,0,1,0,0,0,CSM,5753,1002,17109,"$45,500-$55,999",4,Widowed,Bachelor's degree (4 years of college),__other,"More than $80,000",Divorced,2,,,Juris Doctorate
552,11892024,3,27,Yes,Male,Male,0,0,1,0,0,0,Unemployed,77096,77002,77051,"Less than $25,000",3,Never married,Highschool degree,Highschool degree,"Less than $12,500",Single,0,,,
553,11892037,3,55,Yes,Female,Female,0,0,1,0,0,0,Retired,39534,39501,39503,"Less than $25,000",8,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,1,,,
554,11892045,11,53,Yes,Female,Female,0,0,1,0,0,0,DISABLED,44405,44405,98108,"Less than $25,000",4,__other,No highschool,Some college,"$22,500-$42,999",Married,0,BOTH DECEASED,,
555,11892051,3,25,Yes,Female,Female,0,0,1,0,0,0,Business Owner,46404,46404,46404,"$56,000-$78,000",3,Never married,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Married,0,,,
556,11892054,2,29,Yes,Male,Male,0,0,1,0,0,0,Software engineer,60148,60148,60148,"More than $78,000",4,Married,Master's degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
557,11892065,10,65,Yes,Female,Female,0,0,1,0,0,0,Currently unemployed but seeking remote position,48238,48221,85044,"$45,500-$55,999",6,__other,Master's degree,Master's degree,"$42,500-$80,000",Married,4,My parents are both deceased. They were married 52 years as of 2010 when my father passed away.,,
558,11892067,11,31,Yes,Male,Male,0,0,1,0,0,0,Tutor,10469,10569,11581,"Less than $25,000",4,Never married,Master's degree,Associate's degree (2 years of college),"Less than $12,500",Single,0,,,
559,11892079,5,36,Yes,Female,Female,0,0,1,0,0,0,Independent Contractor,60604,60409,46375,"$45,500-$55,999",4,Never married,Highschool degree,Some college,"$22,500-$42,999",Single,0,,,
561,11892163,4,24,Yes,Male,Male,0,0,1,0,0,0,"Information Technology
",10013,10013,10012,"More than $78,000",2,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
562,11892169,1,34,Yes,Male,Male,0,0,1,0,0,0,Software Engineer,75002,75002,75006,"More than $78,000",5,Married,Doctoral degree,Doctoral degree,"More than $80,000",Married,2,,,
563,11892172,2,18,Yes,Male,Male,0,0,1,0,0,0,,10452,10452,10452,Don't know,3,Married,Some college,Some college,"Less than $12,500",Single,0,,,
565,11892178,3,43,Yes,Female,Female,0,0,1,0,0,0,Homemaker,77061,77026,77449,"$56,000-$78,000",4,Widowed,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"Less than $12,500",Married,2,,,
566,11892182,7,38,Yes,Male,Male,0,0,1,0,0,0,Lecturer,6114,6114,53204,"$56,000-$78,000",5,Divorced,Bachelor's degree (4 years of college),Doctoral degree,"More than $80,000",Married,0,,,
567,11892183,2,65,Yes,Female,Female,0,0,1,0,0,0,Solopreneur in the Professional Services Industry,45805,45805,45013,Don't know,4,Married,Doctoral degree,Bachelor's degree (4 years of college),"$12,501-$22,499",Single,0,,,
568,11892194,1,34,Yes,Male,Male,0,0,1,0,0,0,Finance,10001,10001,10001,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
569,11892195,2,42,Yes,Female,Female,0,0,1,0,0,0,unemployed,75208,75215,75204,"Less than $25,000",4,Never married,Associate's degree (2 years of college),Some college,"Less than $12,500",Single,1,,,
570,11892201,2,28,Yes,Female,Female,0,0,1,0,0,0,Executive secretary,80252,80252,10100,"$25,001-$40,499",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"Less than $12,500",Married,2,,,
571,11892205,2,29,Yes,Female,Female,0,0,1,0,0,0,Freelancer,27703,27707,27704,"Less than $25,000",6,Widowed,Highschool degree,Some college,"$12,501-$22,499",Single,5,,,
572,11892208,5,26,Yes,Male,Male,0,0,1,0,0,0,Game Dev,46077,60031,46342,"$45,500-$55,999",5,Divorced and remarried (one),Bachelor's degree (4 years of college),Some college,"More than $80,000",Single,0,,,
573,11892213,10,40,Yes,Female,Female,0,0,1,0,0,0,nutritionist,11216,11201,11201,"$56,000-$78,000",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
574,11892214,9,43,Yes,Male,Male,0,0,1,0,0,0,"homemaker, business owner",67420,67420,67420,"$25,001-$40,499",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,-3,,,
576,11892224,1,38,Yes,Female,Female,0,0,1,0,0,0,Financial Analysis,77083,77083,77083,"$45,500-$55,999",4,Divorced,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
577,11892250,1,31,Yes,Male,Male,0,0,1,0,0,0,App developer,55001,55001,55003,"More than $78,000",5,Married,Doctoral degree,Doctoral degree,"More than $80,000",Married,2,,,
578,11907089,4,31,Yes,Female,Female,0,0,0,0,0,1,Unemployed,16686,16686,16601,"More than $78,000",3,Married,Some college,Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
580,11907093,8,41,Yes,Female,Female,0,0,0,0,0,1,therapist,58078,58078,58078,"More than $78,000",2,Widowed,Highschool degree,Master's degree,"More than $80,000",Married,3,,,
583,11907098,5,46,Yes,Female,Female,0,0,0,0,0,1,desk administration,45044,45044,45044,"$56,000-$78,000",7,Married,Some college,Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
585,11907109,10,44,Yes,Male,Male,0,0,0,0,0,1,Business Owner,85006,99603,85209,"$25,001-$40,499",5,Divorced,Associate's degree (2 years of college),Some college,"$22,500-$42,999",Single,0,,,
586,11907111,11,32,Yes,Male,Male,0,0,0,0,0,1,"Disabled, unable to work",77450,77450,80016,"More than $78,000",6,Married,Bachelor's degree (4 years of college),Master's degree,"$12,501-$22,499",Married,0,,,
587,11907112,9,63,Yes,Male,Male,0,0,0,0,0,1,Public safety consultant,1201,25414,25438,"Less than $25,000",8,__other,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Widowed,2,deceased,,
588,11907116,5,22,Yes,Female,Female,0,0,1,0,0,0,assistant,55001,55001,55001,"More than $78,000",6,Married,Some college,Associate's degree (2 years of college),"$42,500-$80,000",Single,0,,,
589,11907118,3,40,Yes,Female,Female,0,0,1,0,0,0,Homemaker,62703,62702,62702,"Less than $25,000",5,Never married,Some college,Associate's degree (2 years of college),"$12,501-$22,499",Single,4,,,
590,11907133,9,28,Yes,Female,Female,0,0,1,0,0,0,Director,10001,10001,10001,"More than $78,000",5,Married,Doctoral degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
591,11907136,8,27,Yes,Female,Female,0,0,0,0,0,1,Arts,10001,10001,10001,"More than $78,000",6,Married,Doctoral degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
593,11907152,1,41,Yes,Female,Female,0,0,1,0,0,0,Finance,11691,11691,11691,"$25,001-$40,499",6,Married,Some highschool,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,1,,,
594,11907171,0,52,Yes,Female,Female,0,0,1,0,0,0,Production Analyst,39180,39180,30213,"Less than $25,000",4,Never married,Some college,Some college,"$42,500-$80,000",Single,0,,,
596,11907178,3,58,Yes,Female,Female,0,0,1,0,0,0,Information Systems,60153,60153,27401,"$45,500-$55,999",3,__other,Highschool degree,Highschool degree,"$42,500-$80,000",Single,0,Deceased,,
598,11907431,2,26,Yes,Female,Female,0,0,1,0,0,0,business manager,10118,10118,10118,"More than $78,000",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
