,ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
170,11890273,8,58,Yes,Male,Male,0,0,0,0,0,1,Vice President of Information Technology,6450,6450,33904,"$25,001-$40,499",3,Widowed,Some college,Master's degree,"More than $80,000",Married,0,,,
171,11890274,3,62,Yes,Female,Female,0,0,0,0,0,1,Art Designer,41004,41004,41004,"$45,500-$55,999",5,Married,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Married,1,,,
174,11890277,9,48,Yes,Male,Male,0,0,0,0,0,1,Human Resoure Business Partner,7840,7840,8052,"$25,001-$40,499",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
175,11890279,9,23,Yes,Female,Female,0,0,0,0,0,1,retail associate,1201,78664,78613,"Less than $25,000",2,Never married,Associate's degree (2 years of college),Associate's degree (2 years of college),"Less than $12,500",Single,0,,,
176,11890282,8,36,Yes,Male,Male,0,0,0,0,0,1,lead dara scientist,60635,60707,60016,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Doctoral degree,"More than $80,000",Married,3,,,
177,11890284,8,46,Yes,Female,Female,0,0,0,0,0,1,Clerk,29715,29715,29732,"Less than $25,000",4,Divorced and remarried (both),Highschool degree,Some college,"$42,500-$80,000",Single,0,,,
178,11890285,10,50,Yes,Male,Male,0,0,0,0,0,1,PC Tech,55337,55337,56524,"$56,000-$78,000",4,__other,Some college,Highschool degree,"$42,500-$80,000",Single,0,Married and both deceased.,,
180,11890287,1,44,Yes,Male,Male,0,0,0,0,0,1,designer,92404,92404,74743,"Less than $25,000",4,Divorced and remarried (one),Doctoral degree,Some college,"More than $80,000",Divorced,4,,,
181,11890289,2,26,Yes,Male,Male,0,0,1,0,0,0,Retailer,60601,60601,60601,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
183,11890295,0,50,Yes,Female,Female,0,0,0,0,0,1,Retail,28752,28752,32680,"$45,500-$55,999",3,Married,Highschool degree,Highschool degree,"$42,500-$80,000",Married,0,,,
184,11890298,7,41,Yes,Male,Male,0,0,1,0,0,0,Exam Rater,20912,20912,88001,"$25,001-$40,499",4,Divorced,Bachelor's degree (4 years of college),Master's degree,"$12,501-$22,499",Single,0,,,
185,11890299,8,26,Yes,Male,Male,0,0,0,0,0,1,Credit Analyst,29512,29512,28376,"$56,000-$78,000",4,Divorced and remarried (both),Doctoral degree,Master's degree,"$42,500-$80,000",Married,0,,,
186,11890300,4,24,Yes,Male,Female,0,0,0,0,0,1,student,60018,60018,60018,"$25,001-$40,499",4,Married,Master's degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
187,11890302,0,38,Yes,Male,Male,0,0,1,0,0,0,Real Estate/Construction,32505,32505,32534,"$25,001-$40,499",9,Married,Highschool degree,Highschool degree,"$42,500-$80,000",Single,1,,,
188,11890303,6,31,Yes,Female,Female,0,0,1,0,0,0,Manager,18301,18301,32824,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Highschool degree,"$42,500-$80,000",Single,0,,,
189,11890306,8,31,Yes,Male,Male,0,0,1,0,0,0,Warehousing,20603,20603,20603,"More than $78,000",4,Married,Some college,Highschool degree,"$42,500-$80,000",Single,0,,,
190,11890308,11,24,Yes,Male,Male,0,0,1,0,0,0,pharmacist,30033,30033,30033,"More than $78,000",5,Married,Some college,Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
