,Metric,Obvserved,Null_Mean,Null_Std,Permutation p-val,itemID
71,recall_micro,0.7080745341614907,0.5603844720496894,0.03178757930120263,9.999000099990002e-05,3
72,recall_weighted,0.7080745341614907,0.5603844720496894,0.03178757930120263,9.999000099990002e-05,3
73,f1_macro,0.5695486464449824,0.4672300131860917,0.022000585551411017,9.999000099990002e-05,3
74,f1_micro,0.7080745341614907,0.5603844720496894,0.03178757930120263,9.999000099990002e-05,3
75,f1_weighted,0.7530701692226923,0.6340609124947553,0.027456353154979032,9.999000099990002e-05,3
76,f1_class0,0.3253588516746411,0.24524840336216722,0.02080332449980285,0.00029997000299970003,3
77,f1_class1,0.8137384412153237,0.689211623010016,0.029777611112256314,9.999000099990002e-05,3
78,precision_class0,0.22818791946308725,0.15614090966248045,0.014171246852101551,9.999000099990002e-05,3
79,precision_class1,0.9221556886227545,0.9022976683721927,0.010822421109628583,0.0347965203479652,3
80,recall_class0,0.5666666666666667,0.5740166666666666,0.05232033933813419,0.6195380461953804,3
81,recall_class1,0.7281323877068558,0.5584508274231678,0.037666941704031155,9.999000099990002e-05,3
82,balanced_accuracy,0.6473995271867612,0.5662337470449172,0.02762834292439098,0.0030996900309969004,3
83,mcc,0.21052589744449401,0.08798143806111491,0.0368520673771346,0.0010998900109989002,3
84,roc_auc,0.7301221434200157,0.5914638947990544,0.02784560426294638,9.999000099990002e-05,3
85,pr_auc,0.943294088566399,0.9081089800930334,0.009785690641673367,0.00039996000399960006,3
86,brier,0.20081357383242476,0.2432274495593119,0.003942520780468754,1.0,3
87,log_loss,0.5932826266177923,0.6792738873202007,0.00822807427302697,1.0,3
88,accuracy,0.6314699792960663,0.5561747412008281,0.02995271805809645,0.0066993300669933005,4
89,precision_macro,0.5593348450491308,0.5318556896067159,0.013607201803038383,0.022797720227977204,4
90,precision_micro,0.6314699792960663,0.5561747412008281,0.02995271805809645,0.0066993300669933005,4
91,precision_weighted,0.7881062708036976,0.7677858592093476,0.012609367310799396,0.05369463053694631,4
92,recall_macro,0.6077450980392157,0.5600466519607844,0.025496726144290976,0.03189681031896811,4
93,recall_micro,0.6314699792960663,0.5561747412008281,0.02995271805809645,0.0066993300669933005,4
94,recall_weighted,0.6314699792960663,0.5561747412008281,0.02995271805809645,0.0066993300669933005,4
95,f1_macro,0.5360981610981611,0.48078309698346056,0.021808708475084412,0.006999300069993001,4
96,f1_micro,0.6314699792960663,0.5561747412008281,0.02995271805809645,0.0066993300669933005,4
97,f1_weighted,0.6811155832894963,0.6166197953053875,0.026448359426247573,0.006199380061993801,4
98,f1_class0,0.32575757575757575,0.28375869671471976,0.021472401650045454,0.027497250274972504,4
99,f1_class1,0.7464387464387464,0.6778074972522015,0.02928123546229553,0.007399260073992601,4
100,precision_class0,0.2275132275132275,0.1896506688317276,0.015387303198940326,0.0115988401159884,4
101,precision_class1,0.891156462585034,0.8740607103817043,0.01223622730163172,0.08309169083091691,4
102,recall_class0,0.5733333333333334,0.5656626666666666,0.04890312444008505,0.49945005499450057,4
103,recall_class1,0.6421568627450981,0.5544306372549019,0.03734245174524711,0.010198980101989802,4
104,balanced_accuracy,0.6077450980392157,0.5600466519607844,0.025496726144290976,0.03189681031896811,4
105,mcc,0.15991296003714353,0.0874698699663198,0.037245622907954995,0.027997200279972004,4
106,roc_auc,0.6501307189542485,0.5837491111111112,0.025688188779281387,0.0081991800819918,4
107,pr_auc,0.8996736049081999,0.8809023426228947,0.011260551627524852,0.04739526047395261,4
108,brier,0.23139445000633926,0.24423673128743426,0.0033658497903857735,0.9966003399660034,4
109,log_loss,0.6565456161318389,0.6813972490517465,0.006971515742193143,0.9946005399460054,4
110,accuracy,0.650103519668737,0.5565343685300208,0.03030762662754588,0.0012998700129987,5
111,precision_macro,0.5847661684443335,0.5317588575073744,0.01327031505701529,9.999000099990002e-05,5
112,precision_micro,0.650103519668737,0.5565343685300208,0.03030762662754588,0.0012998700129987,5
113,precision_weighted,0.8165418248930072,0.7734044544281463,0.012270165116319301,9.999000099990002e-05,5
114,recall_macro,0.6587871700634815,0.561187913464751,0.025407811741136384,9.999000099990002e-05,5
115,recall_micro,0.650103519668737,0.5565343685300208,0.03030762662754588,0.0012998700129987,5
116,recall_weighted,0.650103519668737,0.5565343685300208,0.03030762662754588,0.0012998700129987,5
117,f1_macro,0.5626336178489335,0.4791634268608919,0.021758810427568658,0.00029997000299970003,5
118,f1_micro,0.650103519668737,0.5565343685300208,0.03030762662754588,0.0012998700129987,5
119,f1_weighted,0.6991028628177937,0.6186426578010056,0.02667613855973709,0.0008999100089991,5
120,f1_class0,0.36704119850187267,0.2792569920120052,0.021087026539424267,9.999000099990002e-05,5
121,f1_class1,0.7582260371959942,0.6790698617097787,0.02950343947789082,0.0026997300269973002,5
122,precision_class0,0.25257731958762886,0.18542407022923532,0.015053564916779776,0.00019998000199980003,5
123,precision_class1,0.916955017301038,0.8780936447855137,0.011914895018731234,0.0005999400059994001,5
124,recall_class0,0.6712328767123288,0.5678575342465753,0.04901837595075881,0.021997800219978002,5
125,recall_class1,0.6463414634146342,0.5545182926829267,0.03767443295545027,0.009599040095990401,5
126,balanced_accuracy,0.6587871700634815,0.561187913464751,0.025407811741136384,9.999000099990002e-05,5
127,mcc,0.23203258395665116,0.08816271153547389,0.03671668130946492,9.999000099990002e-05,5
128,roc_auc,0.7073170731707318,0.584437220180421,0.025690120776763515,9.999000099990002e-05,5
